File	Author	Title
sources/dlt000145/dlt000145.xml	Diomedes	Ars grammatica
sources/dlt000470/dlt000470.xml	Anonyme	Servius, 
sources/dlt000297/dlt000297.xml	Anonymus	Itinerarium Alexandri
sources/dlt000469/dlt000469.xml	Seruius	Commentarius in Vergilii Aeneidos libros
sources/dlt000522/dlt000522.xml	Iordanes	De origine actibusque Getarum
sources/dlt000514/dlt000514.xml	Vindicianus	Epitome anonyma (quae gynaecia uocatur) recensio M
sources/dlt000554/dlt000554.xml	Vacca	Vita M. Annaei Lucani
sources/dlt000224/dlt000224.xml	Fulgentius (Fabius Planciades Fulgentius)	De aetatibus mundi et hominis
sources/dlt000479/dlt000479.xml	Quintus Aurelius Symmachus	Orationes
sources/dlt000323/dlt000323.xml	Lactantius Placidus	In Statii Thebaida commentum
sources/dlt000346/dlt000346.xml	Marcellus Empiricus	De medicamentis liber
sources/dlt000477/dlt000477.xml	Symmachus	Epistulae
sources/dlt000355/dlt000355.xml	Martianus Capella	De nuptiis Philologiae et Mercurii
sources/dlt000078/dlt000078.xml	Cassiodorus (Flauius Magnus Aurelius Cassiodorus Senator)	Institutiones
sources/dlt000543/dlt000543.xml	pseudo-Agennius Vrbicus	Commentum de controuersiis
sources/dlt000300/dlt000300.xml	Anonyme	Itinerarium Gaditanum
sources/dlt000487/dlt000487.xml	Anonyme	Testamentum Porcelli
sources/dlt000295/dlt000295.xml	Iordanes	De summa temporum uel origine actibusque gentis Romanorum.
sources/dlt000320/dlt000320.xml	Iulius Victor	Ars rhetorica
sources/dlt000557/dlt000557.xml	Emporius Rhetor	Praeceptum de loco communi
sources/dlt000570/dlt000570.xml	 Asper (Aemilius Asper?) 	σχήματα λόγου
sources/dlt000172/dlt000172.xml	Eutyches	Ars de uerbo
sources/dlt000565/dlt000565.xml	Seruius	Vita Vergilii
sources/dlt000357/dlt000357.xml	Maximus Victorinus	De ratione metrorum
sources/dlt000511/dlt000511.xml	Vindicianus	Expositionis membrorum epitome anonyma altera uberior
sources/dlt000459/dlt000459.xml	Anonyme	Scholia in orationes Ciceronis Gronouiana codicis Voss. lat. Q 138
sources/dlt000559/dlt000559.xml	Emporius Rhetor	Praeceptum deliberatiuae
sources/dlt000064/dlt000064.xml	Caelius Aurelianus	De salutaribus praeceptis
sources/dlt000041/dlt000041.xml	Boethius (Anicius Manlius Seuerinus Boethius)	Categoriae Aristotelis Latine uersae
sources/dlt000432/dlt000432.xml	Anonymus	Querolus
sources/dlt000518/dlt000518.xml	Anonymus	De morte testamentoque Alexandri Magni
sources/dlt000581/dlt000581.xml	Philargyrius / Philagrius	Breuis expositio Vergilii Georgicorum
sources/dlt000031/dlt000031.xml	 Aurelius Victor Ps.	 Liber de uiris illustribus urbis Romae
sources/dlt000478/dlt000478.xml	Symmachus	Fragmenta
sources/dlt000153/dlt000153.xml	Aelius Donatus	Praefatio comm. in Verg. Eclogas
sources/dlt000582/dlt000582.xml	Probus (Ps.)	Vita Vergilii
sources/dlt000219/dlt000219.xml	Anonyme	Fragmentum Sangallense de scansione heroici uersus
sources/dlt000473/dlt000473.xml	Iulius Solinus	Collectanea Rerum Memorabilium
sources/dlt000010/dlt000010.xml	Anonymus Valesianus	Excerpta Valesiana pars posterior
sources/dlt000077/dlt000077.xml	Cassiodorus	De orthographia
sources/dlt000393/dlt000393.xml	Eumenius	Panegyricus dictus Augustoduni a. 297-8 - oratio pro instaurandis scholis
sources/dlt000055/dlt000055.xml	Boethius (Anicius Manlius Seuerinus Boethius)	De syllogismo categorico
sources/dlt000334/dlt000334.xml	Balbus (Ps.)	Liber de asse
sources/dlt000394/dlt000394.xml	Anonyme	Panegyricus dictus Constantio Caesari (Treueris a. 297-8)
sources/dlt000044/dlt000044.xml	Boethius (Anicius Manlius Seuerinus Boethius)	De differentiis topicis
sources/dlt000088/dlt000088.xml	Chronographus anni CCCLIV - Furius Dionysius Filocalus	Chronica
sources/dlt000237/dlt000237.xml	Grillius	Commentum in Ciceronis rhetorica
sources/dlt000046/dlt000046.xml	Boethius (Anicius Manlius Seuerinus Boethius)	De sophisticis elenchis liber Aristotelis latine uersus
sources/dlt000592/dlt000592.xml	Anonyme	Passio Sanctarum Perpetuae et Felicitatis
sources/dlt000126/dlt000126.xml	Anonymus	De Taxone (Recensio α)
sources/dlt000319/dlt000319.xml	Iulius Valerius Alexander Polemus	Res gestae Alexandri Macedonis translatae ex Aesopo graeco
sources/dlt000388/dlt000388.xml	Nazarius	Panegyricus dictus Constantino imperatori (Romae a. 321 p. Chr.)
sources/dlt000116/dlt000116.xml	Anonyme	De attributis personis et negotiis ex Ciceronis de Inuentione libro primo
sources/dlt000316/dlt000316.xml	Iulius Rufinianus Ps.	De schematis dianoeas
sources/dlt000292/dlt000292.xml	Anonyme	Incerti auctoris tractatus de adtributis personae et negotio (siue Commentarius in Ciceronis de Inuentione)
sources/dlt000075/dlt000075.xml	Cassiodorus	Anecdoton Holderi quod dicitur, scilicet excerpta ex Cassiodori libello de ordine generis Cassiodororum 
sources/dlt000364/dlt000364.xml	Anonyme	Mythographus Vaticanus I
sources/dlt000151/dlt000151.xml	Aelius Donatus	Epistula ad Munatium
sources/dlt000043/dlt000043.xml	Boethius	Philosophiae consolatio
sources/dlt000182/dlt000182.xml	Favonius Eulogius 	Disputatio de somnio Scipionis
sources/dlt000005/dlt000005.xml	Anonymus	Altercatio Hadriani Augusti et Epicteti Philosophi
sources/dlt000173/dlt000173.xml	Euantius	De comoedia uel de fabula
sources/dlt000548/dlt000548.xml	Boethius (Anicius Manlius Seuerinus Boethius)	Categoriae Aristotelis Latine uersae (editio composita)
sources/dlt000144/dlt000144.xml	Dictys Cretensis	Ephemeris belli troiani
sources/dlt000178/dlt000178.xml	Anonyme	Excerpta rhetorica e codice Parisino 7530 edita
sources/dlt000317/dlt000317.xml	Iulius Rufinianus Ps.	De schematis lexeos
sources/dlt000003/dlt000003.xml	Agroecius	Ars de orthographia
sources/dlt000513/dlt000513.xml	Vindicianus	Epitome anonyma (quae gynaecia uocatur) recensio Li
sources/dlt000577/dlt000577.xml	 Palaemon (Ps.) 	Ars, sive Regulae 
sources/dlt000183/dlt000183.xml	Rufius Festus	Breuiarium
sources/dlt000380/dlt000380.xml	Anonymus Valesianus	Origo Constantini imperatoris (= Excerpta Valesiana pars prior)
sources/dlt000594/dlt000594.xml	Vindicianus	De natura generis humani
sources/dlt000123/dlt000123.xml	Anonymus	De Physiognomonia liber
sources/dlt000406/dlt000406.xml	Anonyme	Periochae Liuii
sources/dlt000463/dlt000463.xml	Anonyme	Scholia in Statii Achilleida
sources/dlt000561/dlt000561.xml	Phocas	Vita Vergilii
sources/dlt000504/dlt000504.xml	Vibius Sequester	De fluminibus fontibus lacubus nemoribus paludibus montibus gentibus per litteras libellus
sources/dlt000115/dlt000115.xml	Dares Phrygius	De excidio Troiae historia
sources/dlt000387/dlt000387.xml	Drepanius, Latinus Pacatus	Panegyricus dictus Theodosio imperatori (Romae a. 389 p. Chr.)
sources/dlt000228/dlt000228.xml	Fulgentius (Ps.)	Fulgentii ut fingitur Planciadis super Thebaiden commentariolum
sources/dlt000321/dlt000321.xml	 Marcus Iunianus Iustinus 	 Epitoma historiarum Philippicarum 
sources/dlt000389/dlt000389.xml	Mamertinus, Claudius	Panegyricus dictus Iuliano imperatori (Constantinopoli a. 362 p. Chr.) - Gratiarum actio de consulatu suo
sources/dlt000159/dlt000159.xml	Dositheus	Ars Grammatica
sources/dlt000390/dlt000390.xml	Anonyme	Panegyricus dictus Constantino imperatori (Treueris a. 312 p. Chr.) - Gratiarum actio
sources/dlt000105/dlt000105.xml	Constantinus (Imperator Constantinus Magnus)	Epistula ad Optatianum Porfyrium
sources/dlt000016/dlt000016.xml	Apicius	De re coquinaria
